season,week,date,rhubarb,green garlic,garlic scapes,garlic,salad mix,mizuna,scarlet frill,arugula,kale,purple kale,kale rapini,baby kale,tokyo bekana,spinach,red spinach,chard,sugarloaf chicory,frisee,purslane,collard greens,alkindus lettuce,romaine lettuce,lollo lettuce,salanova lettuce,mini lettuce,butter lettuce,lettuce,mint,chives,marjoram,lemon balm,dill,cilantro,parsley,basil,oregano,thyme,sage,lavender,hirosaki turnips,hakurei turnips,purple top turnips,salad turnip,parsnip,radishes,daikon radish,purple daikon,crunchy king radish,kohlrabi,peas,snow peas,sugar snap peas,carrot,baby carrots,potatoes,beet,rutabaga,broccoli,purple sprouting broccoli,broccolini,gai lan,bok choy,joi choi,tah tsai,zucchini,cucumber,mini cucumbers,mini cucamelon,fennel,leek,green onion,onion,red onion,fava beans,dragon bean,green bean,beans,varaflex cabbage,green cabbage,cabbage,napa cabbage,celery,jalapeno,shishito,hot pepper,padron pepper,bell pepper,cherry tomato,tasti-lee tomato,tomato,heirloom tomato,green tomato,tomatillo,eggplant,squash
1,3,"Jun 16, 2023",,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1,4,"Jun 23, 2023",,,,,x,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1,5,"Jun 30, 2023",,,,,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
1,6,"Jul 7, 2023",,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,
1,7,"Jul 14, 2023",,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,
1,8,"Jul 21, 2023",,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,
2,1,"Jul 28, 2023",,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"Aug 4, 2023",,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,"Aug 11, 2023",,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
2,4,"Aug 18, 2023",,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
2,5,"Aug 25, 2023",,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,
